ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;Арт. MW-1580 Свитшот Malwee;Материал: 100 % хлопок Бренд: Malwee Свитшот на 2 года,длина 37 см,ширина 32 см,длина рукава 37 см Свитшот на 3 года,длина 38 см,ширина 33 см,длина рукава 39 см Свитшот на 4 года,длина 42 см,ширина 34 см,длина рукава 41 см Свитшот на 5 лет,длина 45 см,ширина 36 см,длина рукава 45 см Свитшот на 6 лет,длина 48 см,ширина 38 см,длина рукава 48 см Свитшот на 7 лет,длина 52 см,ширина 41 см,длина рукава 50 см ;325;15;https://junior35.ru/svitshot-malwee-/-art.-mw-1580.html;https://junior35.ru/assets/images/products/4181/prod/342.jpg;"Размер: 2 - Остаток: 4;Размер: 4 - Остаток: 3;Размер: 5 - Остаток: 2"
;Арт. JM-082 Спортивные штаны Jumping meters;Материал: 100 % хлопок Бренд: Jumping Meters Спортивные штаны,маломерят!!! Спортивные штаны на 2 года,длина 52 см,шаговый 32 см,ширина 28 см Спортивные штаны на 3 года,длина 53 см,шаговый  33 см,ширина 29 см Спортивные штаны на 4 года,длина 57 см,шаговый 36 см,ширина 29 см Спортивные штаны на 5 лет,длина 60 см,шаговый 39 см,ширина 30 см Спортивные штаны на 6 лет,длина 64 см,шаговый 41 см,ширина 32 см Спортивные штаны на 7 лет,длина 65 см,шаговый 43 см,ширина 33 см ;360;15;https://junior35.ru/sportivnyie-shtanyi-jumping-meters-/-art.-jm-082.html;https://junior35.ru/assets/images/products/4200/prod/85.jpg;"Размер: 2 - Остаток: 3"
;Арт. JM-086 Свитшот Jumping meters;Материал: 100 % хлопок Бренд: Jumping Meters  ;375;15;https://junior35.ru/svitshot-jumping-meters-/-art.-jm-086.html;https://junior35.ru/assets/images/products/4272/prod/86.jpg;"Размер: 2 - Остаток: 8;Размер: 3 - Остаток: 8;Размер: 4 - Остаток: 6;Размер: 5 - Остаток: 6;Размер: 6 - Остаток: 4;Размер: 7 - Остаток: 5"
;Арт. MW-1605 Футболка с длинным рукавом Malwee;Материал: 100 % хлопок Бренд: Malwee Футболка на 2 года,длина 38 см,ширина 30 см,длина рукава 32 см Футболка на 3 года,длина 40 см,ширина 32 см,длина рукава 34 см Футболка на 4 года,длина 42 см,ширина 34 см,длина рукава 36 см Футболка на 5 лет,длина 44 см,ширина 36 см,длина рукава 38 см Футболка на 6 лет,длина 46 см,ширина 38 см,длина рукава 40 см Футболка на 7 лет,длина 50 см,ширина 40 см,длина рукава 43 см ;275;15;https://junior35.ru/futbolka-s-dlinnyim-rukavom-malwee-/-art.-mw-1605.html;https://junior35.ru/assets/images/products/4280/prod/366.jpg;"Размер: 2 - Остаток: 3"
;Арт. JM-087 Спортивные штаны Jumping meters;Материал: 100 % хлопок Бренд: Jumping Meters Спортивные штаны,маломерят!!! Спортивные штаны на 2 года,длина 52 см,шаговый 32 см,ширина 28 см Спортивные штаны на 3 года,длина 53 см,шаговый  33 см,ширина 29 см Спортивные штаны на 4 года,длина 57 см,шаговый 36 см,ширина 29 см Спортивные штаны на 5 лет,длина 60 см,шаговый 39 см,ширина 30 см Спортивные штаны на 6 лет,длина 64 см,шаговый 41 см,ширина 32 см Спортивные штаны на 7 лет,длина 65 см,шаговый 43 см,ширина 33 см ;345;15;https://junior35.ru/sportivnyie-shtanyi-jumping-meters-/-art.-jm-087.html;https://junior35.ru/assets/images/products/4289/prod/89.jpg;"Размер: 2 - Остаток: 3"
;Арт. BN-123 Свитшот Boinc;Материал: 70% хлопок,25%полиэстер,5% эластен Бренд: Boinc Страна бренда: Турция  ;310;15;https://junior35.ru/svitshot-boinc-/-art.-bn-123.html;https://junior35.ru/assets/images/products/4323/prod/08.jpg;"Размер: 86 - Остаток: 4;Размер: 92 - Остаток: 5;Размер: 98 - Остаток: 1"
;Арт. BN-125 Свитшот Boinc;Материал: 70% хлопок,25%полиэстер,5% эластен Бренд: Boinc Страна бренда: Турция  ;290;15;https://junior35.ru/svitshot-boinc-/-art.-bn-125.html;https://junior35.ru/assets/images/products/4325/prod/10.jpg;"Размер: 98 - Остаток: 1"
;Арт. BN-127 Свитшот Boinc;Материал: 70% хлопок,25%полиэстер,5% эластен Бренд: Boinc Страна бренда: Турция  ;290;15;https://junior35.ru/svitshot-boinc-/-art.-bn-127.html;https://junior35.ru/assets/images/products/4327/prod/12.jpg;"Размер: 86 - Остаток: 4;Размер: 92 - Остаток: 2"
;Арт. BN-132 Толстовка с капюшоном Boinc;Материал: 70% хлопок,25%полиэстер,5% эластен Бренд: Boinc Страна бренда: Турция  ;440;15;https://junior35.ru/tolstovka-s-kapyushonom-boinc-/-art.-bn-132.html;https://junior35.ru/assets/images/products/4332/prod/17.jpg;"Размер: 110 - Остаток: 2;Размер: 116 - Остаток: 2;Размер: 122 - Остаток: 2;Размер: 128 - Остаток: 2"
;Арт. LM-1623 Толстовка утепленная Little Maven;Бренд: Little Maven 2 года- длина 36 см, ширина 32см, рукав длина  30 см 3 года- длина 39 см, ширина 33 см, рукав длина  33 см 4 года- длина 40 см, ширина 35 см, рукав длина  36 см 5 лет- длина 44 см, ширина 38 см, рукав длина 40 см 6 лет- длина 47 см, ширина 41 см, рукав длина 45 см ;370;15;https://junior35.ru/tolstovka-uteplennaya-little-maven-/-art.-lm-1623.html;https://junior35.ru/assets/images/products/4340/prod/335.jpg;"Размер: 3 - Остаток: 4"
