ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;Арт. JM-009 Лосины Jumping meters;Материал: 100 % хлопок Бренд: Jumping Meters Страна бренда: Китай Лосины на 2 года,длина 46 см,шаговый 29 см,ширина 21 см Лосины на 3 года,длина 50 см,шаговый 33 см,ширина 22 см Лосины на 4 года, длина 58 см,шаговый 38 см,ширина 23 см Лосины на 5 лет,длина 63 см,шаговый 43 см,ширина 25 см Лосины на 6 лет,длина 67 см,шаговый 45 см,ширина 26 см Лосины на 7 лет,длина 70 см,шаговый 50 см,ширина 27 см ;245;15;https://junior35.ru/catalog/jm/losiny_jumping_meters_art_jm009;https://junior35.ru/assets/images/products/3539/prod/9.jpg https://junior35.ru/assets/images/products/3539/prod/9001.jpg;"Размер: 4 - Остаток: 2;Размер: 7 - Остаток: 1"
;Арт. LM-1408 Платье Little Maven;Материал: 100 % хлопок Бренд: Little Maven Страна бренда: США  ;340;15;https://junior35.ru/plate-little-maven-/-art.-lm-1408.html;https://junior35.ru/assets/images/products/3283/prod/97.jpg;"Размер: 2 - Остаток: 2"
;Арт. JM-008 Лосины Jumping meters;Материал: 100 % хлопок Бренд: Jumping Meters Страна бренда: Китай Лосины на 2 года,длина 45 см,шаговый 27 см,ширина 22 см Лосины на 3 года,длина 50 см,шаговый 32 см,ширина 23 см Лосины на 4 года,длина 57 см,шаговый 39 см,ширина 24 см Лосины на 5 лет,длина 59 см,шаговый 41 см,ширина 25 см Лосины на 6 лет,длина 65 см,шаговый 45 см,ширина 26 см Лосины на 7 лет,длина 69 см,шаговый 50 см,ширина 27 см ;245;15;https://junior35.ru/catalog/jm/losiny_jumping_meters_art_jm008;https://junior35.ru/assets/images/products/3538/prod/8.jpg https://junior35.ru/assets/images/products/3538/prod/8001.jpg;"Размер: 2 - Остаток: 3;Размер: 3 - Остаток: 1;Размер: 4 - Остаток: 1"
;Арт. LM-1410 Платье Little Maven;Материал: 100 % хлопок Бренд: Little Maven Страна бренда: США  ;300;15;https://junior35.ru/catalog/littlemaven/plate__little_maven_art_lm1410;https://junior35.ru/assets/images/products/3285/prod/695.jpg;"Размер: 2 - Остаток: 3"
;Арт. JM-013 Лосины Jumping meters;Материал: 100 % хлопок Бренд: Jumping Meters Страна бренда: Китай Лосины на 2 года,длина 46 см,шаговый 30 см,ширина 21 см Лосины на 3 года,длина 50 см,шаговый 32 см,ширина 22 см Лосины на 4 года ,длина 58 см,шаговый 39 см,ширина 23 см Лосины на 5 лет,длина 62 см,шаговый 43 см,ширина 24 см Лосины на 6 лет,длина 67 см,шаговый 47 см,ширина 25 см Лосины на 7 лет,длина 70 см,шаговый 50 см,ширина 26 см ;245;15;https://junior35.ru/catalog/jm/losiny_jumping_meters_art_jm013;https://junior35.ru/assets/images/products/3543/prod/13.jpg https://junior35.ru/assets/images/products/3543/prod/1301.jpg;"Размер: 2 - Остаток: 1;Размер: 3 - Остаток: 1"
;Арт. LM-1304 Платье Little Maven;Материал: 100 % хлопок Бренд: Little Maven Страна бренда: США Платье на 2 года,длина 41 см,ширина 29 см,длина рукава 29 см Платье на 3 года,длина 45 см,ширина 30 см,длина рукава 32 см Платье на 4 года,длина 49 см,ширина 31 см,длина рукава35 см Платье на 5 лет,длина 53 см,ширина 32 см,длина рукава 38 см Платье на 6 лет,длина 57 см,ширина 33 см,длина рукава 41 см Платье на 7 лет,длина 61 см,ширина 34 см,длина рукава 44 см ;450;15;https://junior35.ru/catalog/littlemaven/plate_little_maven_art_lm1304;https://junior35.ru/assets/images/products/3040/prod/208.jpg;"Размер: 3 - Остаток: 2"
;Арт. LM-1309 Платье Little Maven;Материал: 100 % хлопок Бренд: Little Maven Страна бренда: США  ;310;15;https://junior35.ru/catalog/littlemaven/plate_little_maven_art_lm1309;https://junior35.ru/assets/images/products/3045/prod/196.jpg;"Размер: 2 - Остаток: 7"
;Арт. LM-1319 Платье Little Maven;Материал: 100 % хлопок Бренд: Little Maven Страна бренда: США  ;360;15;https://junior35.ru/catalog/littlemaven/plate_little_maven_art_lm1319;https://junior35.ru/assets/images/products/3055/prod/1.jpg;"Размер: 2 - Остаток: 1"
;Арт. JB-886 Костюм Jumping Beans;Материал: 100 % хлопок Страна бренда: США  ;440;15;https://junior35.ru/kostyum-jumping-beans-/-art.-jb-886.html;https://junior35.ru/assets/images/products/2036/prod/292.jpg;"Размер: 4 - Остаток: 1;Размер: 5 - Остаток: 1"
;Арт. LM-1476 Платье Little Maven;Материал: 100 % хлопок Бренд: Little Maven Страна бренда: США Платье на 2 года,длина 43 см,ширина 27 см,на рост 92 см Платье на 3 года ,длина 45см,ширина 28 см,на рост 98 см Платье на 4 года,длина 49 см,ширина 29 см,на рост 104 см Платье на 5 лет,длина 54 см,ширина 30 см,на рост 110 см Платье на 6 ле,длина 58 см,ширина 31 см, на рост 116 см Платье на 7 лет,длина 61 см,ширина 33 см,на рост 128 см ;380;15;https://junior35.ru/catalog/littlemaven/plate_little_maven__art_lm1476;https://junior35.ru/assets/images/products/438/prod/192.jpg;"Размер: 3 - Остаток: 2"
;Арт. CR-183 Костюм Carters;Материал: 100 % хлопок Бренд: Carters  ;470;15;https://junior35.ru/kostyum-carters-/-art.-cr-183.html;https://junior35.ru/assets/images/products/3673/prod/qip-shot-screen-405.jpg;"Размер: 6 мес - Остаток: 3"
;Арт. JM-020 Платье Jumping meters;Материал: 80%хлопок,20 % полиэстер Бренд: Jumping Meters Страна бренда: Китай Платье на 2 года,длина 54 см,ширина 27 см Платье на 3 года,длина 57 см,ширина 28 см Платье на 4 года,длина 60 см,ширина 31 см Платье на 5 лет,длина 64 см,ширина 32 см Платье на 6 лет,длина 67 см,ширина 33 см Платье на 7 лет,длина 72 см,ширина 34см ;380;15;https://junior35.ru/plate-jumping-meters-/-art.-jm-020.html;https://junior35.ru/assets/images/products/3685/prod/21.jpg https://junior35.ru/assets/images/products/3685/prod/2101.jpg;"Размер: 2 - Остаток: 3"
;Арт. BN-094 Футболка Boinc;Материал: 95 % хлопок, 5% эластен Бренд: Boinc Страна бренда: Турция Футболка 9-12 мес,длина 35 см,ширина 26 см Футболка на 1-2 года,длина 37 см,ширина 27 см Футболка на 2-3 года,длина 39 см,ширина 28 см Футболк на 3-4 года,длина 41 см,ширина 30 см ;200;15;https://junior35.ru/futbolka-boinc-/-art.-bn-094.html;https://junior35.ru/assets/images/products/3735/prod/6.jpg;"Размер: 98 - Остаток: 1"
;Арт. BN-093 Футболка Boinc;Материал: 95 % хлопок, 5% эластен Бренд: Boinc Страна бренда: Турция Футболка 9-12 мес,длина 35 см,ширина 26 см Футболка на 1-2 года,длина 37 см,ширина 27 см Футболка на 2-3 года,длина 39 см,ширина 28 см Футболк на 3-4 года,длина 41 см,ширина 30 см ;200;15;https://junior35.ru/futbolka-boinc-/-art.-bn-093.html;https://junior35.ru/assets/images/products/3734/prod/7.jpg;"Размер: 86 - Остаток: 1"
;Арт. BN-083 Футболка Boinc;Материал: 95 % хлопок, 5% эластен Бренд: Boinc Страна бренда: Турция Футболка 134 ,длина 45 см,ширина 34 см Футболка 140 ,длина 48 см,ширина 35 см Футболка 146 ,длина 49 см,ширина 36 см Футболка 152 ,длина 50 см,ширина 37 см ;210;15;https://junior35.ru/futbolka-boinc-/-art.-bn-083.html;https://junior35.ru/assets/images/products/3721/prod/104.jpg;"Размер: 134 - Остаток: 2"
;Арт. JM-024 Лосины Jumping meters;Материал: 100 % хлопок Бренд: Jumping Meters Страна бренда: Китай  ;245;15;https://junior35.ru/losinyi-jumping-meters-/-art.-jm-024.html;https://junior35.ru/assets/images/products/3764/prod/92.jpg;"Размер: 2 - Остаток: 2;Размер: 3 - Остаток: 3;Размер: 4 - Остаток: 2"
;Арт. JM-023 Лосины Jumping meters;Материал: 100 % хлопок Бренд: Jumping Meters Страна бренда: Китай 2 года- длина 45 см, ширина 22 см 3 года- длина 50 см, ширина 24 см 4 года- длина 57 см, ширина 25 см 5 лет- длина 60 см, ширина 25 см 6 лет- длина 65 см, ширина 26 см 7 лет- длина 68 см, ширина 27 см ;245;15;https://junior35.ru/losinyi-jumping-meters-/-art.-jm-023.html;https://junior35.ru/assets/images/products/3763/prod/23.jpg https://junior35.ru/assets/images/products/3763/prod/2301.jpg;"Размер: 3 - Остаток: 3;Размер: 7 - Остаток: 1"
